"","input 0 Last (C)","input 1 Last (C)","input 2 Last (C)","input 3 Last (C)","input 4 Last (C)","input 5 Last (C)"
"2024-01-26T10:05:16-05:00","28.194","28.281","28.086","27.936","27.606","27.902"
"2024-01-26T10:06:16-05:00","28.278","28.366","28.174","28.020","27.690","27.993"
"2024-01-26T10:07:16-05:00","28.369","28.459","28.268","28.114","27.789","28.054"
"2024-01-26T10:08:16-05:00","28.476","28.563","28.372","28.215","27.894","28.188"
"2024-01-26T10:09:16-05:00","28.572","28.666","28.475","28.316","27.997","28.281"
"2024-01-26T10:10:16-05:00","28.676","28.761","28.581","28.422","28.112","28.402"
"2024-01-26T10:11:16-05:00","28.784","28.854","28.682","28.521","28.210","28.518"
"2024-01-26T10:12:16-05:00","28.881","28.956","28.786","28.624","28.310","28.658"
"2024-01-26T10:13:16-05:00","28.982","29.059","28.887","28.724","28.414","28.702"
"2024-01-26T10:14:16-05:00","29.090","29.166","28.996","28.828","28.518","28.814"
"2024-01-26T10:15:16-05:00","29.201","29.269","29.098","28.927","28.620","28.943"
"2024-01-26T10:16:16-05:00","29.306","29.376","29.203","29.032","28.727","29.065"
"2024-01-26T10:17:16-05:00","29.412","29.478","29.305","29.132","28.828","29.174"
"2024-01-26T10:18:16-05:00","29.516","29.586","29.414","29.237","28.931","29.265"
"2024-01-26T10:19:16-05:00","29.607","29.680","29.508","29.330","29.030","29.343"
"2024-01-26T10:20:16-05:00","29.706","29.784","29.607","29.430","29.136","29.398"
"2024-01-26T10:21:16-05:00","29.798","29.878","29.703","29.525","29.235","29.547"
"2024-01-26T10:22:16-05:00","29.897","29.970","29.802","29.624","29.334","29.618"
"2024-01-26T10:23:16-05:00","29.988","30.065","29.896","29.716","29.430","29.726"
"2024-01-26T10:24:16-05:00","30.082","30.156","29.994","29.813","29.530","29.838"
"2024-01-26T10:25:16-05:00","30.190","30.259","30.106","29.924","29.640","29.927"
"2024-01-26T10:26:16-05:00","30.289","30.359","30.209","30.023","29.742","30.047"
"2024-01-26T10:27:16-05:00","30.379","30.444","30.297","30.112","29.833","30.161"
"2024-01-26T10:28:16-05:00","30.480","30.544","30.397","30.214","29.937","30.242"
"2024-01-26T10:29:16-05:00","30.583","30.645","30.498","30.312","30.037","30.351"
"2024-01-26T10:30:16-05:00","30.681","30.737","30.598","30.412","30.140","30.424"
"2024-01-26T10:31:16-05:00","30.775","30.831","30.695","30.507","30.232","30.568"
"2024-01-26T10:32:16-05:00","30.876","30.926","30.800","30.610","30.333","30.657"
"2024-01-26T10:33:16-05:00","30.975","31.033","30.902","30.705","30.431","30.738"
"2024-01-26T10:34:16-05:00","31.077","31.131","31.000","30.806","30.530","30.827"
"2024-01-26T10:35:16-05:00","31.179","31.236","31.105","30.909","30.634","30.908"
"2024-01-26T10:36:16-05:00","31.282","31.339","31.209","31.007","30.732","31.007"
"2024-01-26T10:37:16-05:00","31.391","31.443","31.319","31.117","30.843","31.114"
"2024-01-26T10:38:16-05:00","31.485","31.536","31.411","31.208","30.936","31.205"
"2024-01-26T10:39:16-05:00","31.587","31.638","31.511","31.304","31.040","31.308"
"2024-01-26T10:40:16-05:00","31.685","31.729","31.605","31.397","31.135","31.409"
"2024-01-26T10:41:16-05:00","31.785","31.820","31.702","31.497","31.235","31.509"
"2024-01-26T10:42:16-05:00","31.890","31.917","31.801","31.598","31.341","31.648"
"2024-01-26T10:43:16-05:00","31.987","32.011","31.901","31.698","31.440","31.757"
"2024-01-26T10:44:16-05:00","32.084","32.107","31.992","31.794","31.534","31.837"
"2024-01-26T10:45:16-05:00","32.186","32.202","32.092","31.892","31.634","31.930"
"2024-01-26T10:46:16-05:00","32.291","32.303","32.195","31.993","31.739","32.043"
"2024-01-26T10:47:16-05:00","32.388","32.395","32.291","32.090","31.838","32.119"
"2024-01-26T10:48:16-05:00","32.484","32.494","32.388","32.185","31.934","32.204"
"2024-01-26T10:49:16-05:00","32.589","32.598","32.493","32.289","32.037","32.302"
"2024-01-26T10:50:16-05:00","32.700","32.700","32.593","32.391","32.143","32.396"
"2024-01-26T10:51:16-05:00","32.811","32.792","32.688","32.480","32.237","32.499"
