file,heart_rate,sd,std_err,confidence,start,end,,,,,,,,
input_0_F2_Trial13_22C_20240130_070357.txt,61.71428571,0.11843892,0.019471239,Good,220,256,,,,,,,,
input_0_F2_Trial13_22C_20240130_071357.txt,57.98657718,0.179709863,0.02954412,Good,266,304,,,,,,,,
input_0_F2_Trial13_22C_20240130_072357.txt,59.74395448,0.156534824,0.026089137,Good,152,188,,,,,,,,
input_0_F2_Trial13_22C_20240130_073357.txt,58.36909871,0.164197394,0.027754425,Good,96,132,,,,,,,,
input_0_F2_Trial13_22C_20240130_074357.txt,57.10165826,0.165534745,0.028388975,Good,430,466,,,,,,,,
input_0_F2_Trial13_22C_20240130_075357.txt,58.28571429,0.091384674,0.015446829,Good,378,414,,,,,,,,
input_0_F2_Trial13_22C_20240130_080357.txt,64.16184971,0.081321434,0.013192079,Good,378,414,,,,,,,,
input_0_F2_Trial13_22C_20240130_081357.txt,67.82608696,0.148967431,0.023553819,Good,172,208,,,,,,,,
input_0_F2_Trial13_22C_20240130_082357.txt,74.19354839,0.160832676,0.023459857,Good,130,168,,,,,,,,
input_0_F2_Trial13_22C_20240130_083357.txt,69.83154671,0.171302233,0.022493085,Good,244,294,,,,,,,,
input_0_F2_Trial13_22C_20240130_084358.txt,63.47107438,0.171384013,0.029834127,Good,26,58,,,,,,,,
input_0_F2_Trial13_22C_20240130_085358.txt,69.65076242,0.241105662,0.031126607,Good,150,202,,,,,,,,
input_0_F2_Trial13_22C_20240130_090358.txt,86.44688645,0.041350839,0.00533837,Good,200,242,,,,,,,,
input_0_F2_Trial13_22C_20240130_091358.txt,76.55172414,0.075050033,0.012174723,Good,134,164,,,,,,,,
input_0_F2_Trial13_22C_20240130_092358.txt,50.10989011,0.375822684,0.084036507,Good,262,286,,,,,,,,
input_0_F2_Trial13_22C_20240130_093358.txt,16.89715866,1.034262175,0.192057664,Good,246,348,,,,,,,,
input_0_F2_Trial13_22C_20240130_094358.txt,9.5734888,3.836792614,1.025425959,Good,246,348,,,,,,,,
input_0_F2_Trial13_22C_20240130_095358.txt,7.741935484,4.823121396,1.392315218,Good,174,270,,,,,,,,
input_0_F2_Trial13_22C_20240130_100358.txt,65.6344259,0.321378717,0.027457237,Flatline,58,184,,,,,,,,
input_0_F2_Trial13_22C_20240130_101358.txt,70.02398082,0.29515514,0.024343986,Discard,58,184,,,,,,,,
input_0_F2_Trial13_22C_20240130_102359.txt,70.99552187,0.27061819,0.010317222,Discard,0,582.075,,,,,,,,
input_0_F2_Trial13_22C_20240130_103359.txt,74.31818182,0.265912622,0.025353774,Discard,0,88.975,,,,,,,,
input_1_F2_Trial13_22C_20240130_070357.txt,43.7619962,0.27019324,0.06041704,Good,324,352,,,,,,,,
input_1_F2_Trial13_22C_20240130_071357.txt,44.4802579,0.35302896,0.07206173,Good,258,292,,,,,,,,
input_1_F2_Trial13_22C_20240130_072357.txt,47.5812847,0.31975577,0.06270927,Good,258,292,,,,,,,,
input_1_F2_Trial13_22C_20240130_073357.txt,46.2249615,0.47186024,0.09253941,Good,144,178,,,,,,,,
input_1_F2_Trial13_22C_20240130_074357.txt,52.2144522,0.14914605,0.02769573,Good,144,178,,,,,,,,
input_1_F2_Trial13_22C_20240130_075357.txt,52.3364486,0.25438383,0.04239731,Good,278,320,,,,,,,,
input_1_F2_Trial13_22C_20240130_080357.txt,52.8417819,0.35574505,0.05363058,Good,140,190,,,,,,,,
input_1_F2_Trial13_22C_20240130_081357.txt,75.8762887,0.22075368,0.03220023,Good,392,430,,,,,,,,
input_1_F2_Trial13_22C_20240130_082357.txt,62.594372,0.13308658,0.02131091,Good,168,206,,,,,,,,
input_1_F2_Trial13_22C_20240130_083357.txt,65.5506608,0.21337344,0.03771945,Good,310,340,,,,,,,,
input_1_F2_Trial13_22C_20240130_084358.txt,59.6558317,0.11647053,0.02241476,Good,122,150,,,,,,,,
input_1_F2_Trial13_22C_20240130_085358.txt,71.2206047,0.06732972,0.00916241,Good,280,326,,,,,,,,
input_1_F2_Trial13_22C_20240130_090358.txt,68.0161943,0.38241782,0.07101321,Good,452,478,,,,,,,,
input_1_F2_Trial13_22C_20240130_091358.txt,46.1016949,0.38538357,0.06514171,Good,450,496,,,,,,,,
input_1_F2_Trial13_22C_20240130_092358.txt,41.4922657,0.13901018,0.03108362,Good,282,312,,,,,,,,
