"","Input 0 Last (C)","Input 1 Last (C)","Input 2 Last (C)","Input 3 Last (C)","Input 4 Last (C)","Input 5 Last (C)"
"2024-01-17T10:13:38-05:00","27.306","27.277","27.180","26.989","26.937","27.152"
"2024-01-17T10:14:38-05:00","27.308","27.279","27.188","26.997","26.944","27.161"
"2024-01-17T10:15:38-05:00","27.321","27.290","27.194","27.004","26.948","27.171"
"2024-01-17T10:16:38-05:00","27.328","27.292","27.195","27.004","26.955","27.176"
"2024-01-17T10:17:38-05:00","27.328","27.297","27.201","27.012","26.962","27.187"
"2024-01-17T10:18:38-05:00","27.345","27.319","27.220","27.035","26.985","27.205"
"2024-01-17T10:19:38-05:00","27.378","27.330","27.239","27.064","27.013","27.225"
"2024-01-17T10:20:38-05:00","27.447","27.409","27.293","27.130","27.076","27.286"
"2024-01-17T10:21:38-05:00","27.514","27.484","27.353","27.200","27.138","27.349"
"2024-01-17T10:22:38-05:00","27.599","27.569","27.423","27.285","27.222","27.416"
"2024-01-17T10:23:38-05:00","27.684","27.654","27.502","27.373","27.308","27.496"
"2024-01-17T10:24:38-05:00","27.774","27.738","27.590","27.465","27.394","27.575"
"2024-01-17T10:25:38-05:00","27.865","27.826","27.667","27.565","27.495","27.663"
"2024-01-17T10:26:38-05:00","27.959","27.906","27.739","27.660","27.589","27.751"
"2024-01-17T10:27:38-05:00","28.057","27.991","27.822","27.750","27.686","27.849"
"2024-01-17T10:28:38-05:00","28.177","28.092","27.906","27.860","27.779","27.953"
"2024-01-17T10:29:38-05:00","28.285","28.204","28.000","27.976","27.881","28.069"
"2024-01-17T10:30:38-05:00","28.384","28.304","28.104","28.078","27.984","28.179"
"2024-01-17T10:31:38-05:00","28.487","28.406","28.195","28.173","28.079","28.276"
"2024-01-17T10:32:38-05:00","28.585","28.526","28.306","28.285","28.200","28.392"
"2024-01-17T10:33:38-05:00","28.678","28.618","28.400","28.379","28.278","28.509"
"2024-01-17T10:34:38-05:00","28.778","28.716","28.503","28.489","28.390","28.598"
"2024-01-17T10:35:38-05:00","28.875","28.820","28.600","28.586","28.493","28.701"
"2024-01-17T10:36:38-05:00","28.986","28.929","28.702","28.685","28.594","28.819"
"2024-01-17T10:37:38-05:00","29.094","29.038","28.809","28.790","28.704","28.919"
"2024-01-17T10:38:38-05:00","29.203","29.141","28.920","28.908","28.807","29.011"
"2024-01-17T10:39:38-05:00","29.311","29.241","29.024","29.008","28.901","29.105"
"2024-01-17T10:40:38-05:00","29.414","29.339","29.126","29.111","28.982","29.208"
"2024-01-17T10:41:38-05:00","29.523","29.441","29.225","29.206","29.113","29.323"
"2024-01-17T10:42:38-05:00","29.638","29.549","29.329","29.313","29.198","29.421"
"2024-01-17T10:43:38-05:00","29.741","29.654","29.433","29.413","29.305","29.519"
"2024-01-17T10:44:38-05:00","29.844","29.761","29.534","29.511","29.405","29.621"
"2024-01-17T10:45:38-05:00","29.932","29.850","29.622","29.603","29.499","29.715"
"2024-01-17T10:46:38-05:00","30.024","29.940","29.721","29.689","29.595","29.814"
"2024-01-17T10:47:38-05:00","30.120","30.037","29.818","29.799","29.697","29.905"
"2024-01-17T10:48:38-05:00","30.210","30.135","29.908","29.898","29.791","30.008"
"2024-01-17T10:49:38-05:00","30.300","30.230","30.007","29.994","29.878","30.090"
"2024-01-17T10:50:38-05:00","30.405","30.332","30.112","30.094","29.986","30.193"
"2024-01-17T10:51:38-05:00","30.491","30.419","30.198","30.177","30.079","30.271"
"2024-01-17T10:52:38-05:00","30.593","30.531","30.308","30.278","30.182","30.368"
"2024-01-17T10:53:38-05:00","30.690","30.629","30.405","30.381","30.277","30.464"
"2024-01-17T10:54:38-05:00","30.798","30.734","30.511","30.485","30.382","30.573"
"2024-01-17T10:55:38-05:00","30.906","30.843","30.620","30.590","30.490","30.686"
"2024-01-17T10:56:38-05:00","31.005","30.946","30.718","30.692","30.580","30.783"
"2024-01-17T10:57:38-05:00","31.113","31.056","30.822","30.799","30.687","30.892"
"2024-01-17T10:58:38-05:00","31.219","31.149","30.931","30.897","30.779","30.997"
"2024-01-17T10:59:38-05:00","31.317","31.251","31.028","30.998","30.889","31.108"
"2024-01-17T11:00:38-05:00","31.424","31.354","31.122","31.101","30.994","31.208"
"2024-01-17T11:01:38-05:00","31.521","31.446","31.230","31.198","31.089","31.313"
"2024-01-17T11:02:38-05:00","31.624","31.549","31.334","31.293","31.203","31.414"
"2024-01-17T11:03:38-05:00","31.709","31.646","31.426","31.386","31.302","31.513"
"2024-01-17T11:04:38-05:00","31.811","31.742","31.530","31.475","31.385","31.605"
"2024-01-17T11:05:38-05:00","31.908","31.837","31.629","31.580","31.496","31.697"
"2024-01-17T11:06:38-05:00","32.003","31.934","31.722","31.680","31.581","31.782"
"2024-01-17T11:07:38-05:00","32.093","32.024","31.816","31.778","31.671","31.881"
"2024-01-17T11:08:38-05:00","32.199","32.122","31.914","31.871","31.774","31.982"
"2024-01-17T11:09:38-05:00","32.291","32.217","32.008","31.974","31.881","32.091"
"2024-01-17T11:10:38-05:00","32.386","32.318","32.106","32.073","31.985","32.188"
"2024-01-17T11:11:38-05:00","32.479","32.426","32.207","32.188","32.091","32.294"
"2024-01-17T11:12:38-05:00","32.588","32.536","32.310","32.284","32.206","32.405"
"2024-01-17T11:13:38-05:00","32.696","32.633","32.413","32.380","32.315","32.506"
"2024-01-17T11:14:38-05:00","32.793","32.725","32.513","32.485","32.384","32.598"
"2024-01-17T11:15:38-05:00","32.891","32.829","32.598","32.583","32.491","32.701"
"2024-01-17T11:16:38-05:00","32.994","32.927","32.698","32.680","32.587","32.791"
"2024-01-17T11:17:38-05:00","33.093","33.028","32.801","32.774","32.696","32.890"
"2024-01-17T11:18:38-05:00","33.197","33.127","32.900","32.880","32.797","33.005"
"2024-01-17T11:19:38-05:00","33.293","33.218","32.997","32.972","32.898","33.090"
"2024-01-17T11:20:38-05:00","33.395","33.324","33.096","33.071","32.982","33.184"
"2024-01-17T11:21:38-05:00","33.487","33.426","33.202","33.165","33.085","33.299"
"2024-01-17T11:22:38-05:00","33.577","33.528","33.299","33.266","33.179","33.392"
