"","input 0 Last (C)","input 1 Last (C)","input 2 Last (C)","input 3 Last (C)","input 4 Last (C)","input 5 Last (C)"
"2024-01-25T10:18:32-05:00","27.229","27.248","27.166","27.041","26.959","27.173"
"2024-01-25T10:19:32-05:00","27.241","27.259","27.173","27.048","26.963","27.178"
"2024-01-25T10:20:32-05:00","27.262","27.284","27.189","27.065","26.971","27.186"
"2024-01-25T10:21:32-05:00","27.279","27.295","27.197","27.076","26.974","27.195"
"2024-01-25T10:22:32-05:00","27.290","27.305","27.199","27.087","26.971","27.192"
"2024-01-25T10:23:32-05:00","27.298","27.309","27.198","27.103","26.964","27.185"
"2024-01-25T10:24:32-05:00","27.326","27.327","27.224","27.125","26.975","27.198"
"2024-01-25T10:25:32-05:00","27.385","27.390","27.290","27.176","27.022","27.252"
"2024-01-25T10:26:32-05:00","27.460","27.472","27.375","27.247","27.085","27.327"
"2024-01-25T10:27:32-05:00","27.539","27.549","27.462","27.318","27.151","27.407"
"2024-01-25T10:28:32-05:00","27.617","27.628","27.548","27.391","27.220","27.488"
"2024-01-25T10:29:32-05:00","27.705","27.720","27.642","27.483","27.306","27.577"
"2024-01-25T10:30:32-05:00","27.796","27.806","27.735","27.569","27.392","27.669"
"2024-01-25T10:31:32-05:00","27.885","27.903","27.828","27.665","27.480","27.763"
"2024-01-25T10:32:32-05:00","27.967","27.981","27.915","27.747","27.563","27.848"
"2024-01-25T10:33:32-05:00","28.059","28.076","28.012","27.836","27.668","27.943"
"2024-01-25T10:34:32-05:00","28.162","28.181","28.116","27.939","27.779","28.040"
"2024-01-25T10:35:32-05:00","28.256","28.275","28.208","28.036","27.873","28.127"
"2024-01-25T10:36:32-05:00","28.362","28.386","28.310","28.133","27.970","28.222"
"2024-01-25T10:37:32-05:00","28.464","28.481","28.410","28.238","28.064","28.314"
"2024-01-25T10:38:32-05:00","28.557","28.579","28.505","28.333","28.156","28.414"
"2024-01-25T10:39:32-05:00","28.654","28.681","28.602","28.431","28.254","28.511"
"2024-01-25T10:40:32-05:00","28.761","28.775","28.707","28.528","28.364","28.614"
"2024-01-25T10:41:32-05:00","28.857","28.880","28.801","28.631","28.458","28.708"
"2024-01-25T10:42:32-05:00","28.956","28.981","28.904","28.734","28.562","28.806"
"2024-01-25T10:43:32-05:00","29.055","29.085","29.000","28.834","28.667","28.911"
"2024-01-25T10:44:32-05:00","29.154","29.185","29.100","28.936","28.764","29.014"
"2024-01-25T10:45:32-05:00","29.253","29.295","29.202","29.028","28.870","29.116"
"2024-01-25T10:46:32-05:00","29.368","29.409","29.315","29.132","28.984","29.229"
"2024-01-25T10:47:32-05:00","29.464","29.497","29.411","29.223","29.076","29.322"
"2024-01-25T10:48:32-05:00","29.564","29.607","29.509","29.321","29.176","29.421"
"2024-01-25T10:49:32-05:00","29.663","29.701","29.611","29.427","29.272","29.526"
"2024-01-25T10:50:32-05:00","29.761","29.803","29.713","29.504","29.370","29.629"
"2024-01-25T10:51:32-05:00","29.863","29.908","29.814","29.616","29.471","29.734"
"2024-01-25T10:52:32-05:00","29.961","30.004","29.914","29.719","29.571","29.832"
"2024-01-25T10:53:32-05:00","30.056","30.098","30.005","29.816","29.668","29.927"
"2024-01-25T10:54:32-05:00","30.148","30.188","30.099","29.911","29.757","30.027"
"2024-01-25T10:55:32-05:00","30.249","30.290","30.198","30.011","29.859","30.132"
"2024-01-25T10:56:32-05:00","30.347","30.394","30.298","30.111","29.963","30.233"
"2024-01-25T10:57:32-05:00","30.439","30.488","30.389","30.203","30.055","30.322"
"2024-01-25T10:58:32-05:00","30.531","30.566","30.479","30.297","30.149","30.413"
"2024-01-25T10:59:32-05:00","30.637","30.694","30.586","30.402","30.252","30.521"
"2024-01-25T11:00:32-05:00","30.722","30.770","30.671","30.490","30.344","30.608"
"2024-01-25T11:01:32-05:00","30.828","30.865","30.771","30.589","30.447","30.707"
"2024-01-25T11:02:32-05:00","30.926","30.974","30.877","30.693","30.552","30.809"
"2024-01-25T11:03:32-05:00","31.031","31.083","30.983","30.785","30.655","30.908"
"2024-01-25T11:04:32-05:00","31.134","31.184","31.082","30.888","30.756","31.008"
"2024-01-25T11:05:32-05:00","31.237","31.294","31.183","30.985","30.851","31.108"
"2024-01-25T11:06:32-05:00","31.339","31.397","31.286","31.086","30.953","31.212"
"2024-01-25T11:07:32-05:00","31.440","31.499","31.391","31.193","31.056","31.314"
"2024-01-25T11:08:32-05:00","31.553","31.589","31.500","31.304","31.167","31.425"
"2024-01-25T11:09:32-05:00","31.649","31.706","31.598","31.409","31.267","31.521"
"2024-01-25T11:10:32-05:00","31.755","31.814","31.708","31.516","31.375","31.633"
"2024-01-25T11:11:32-05:00","31.865","31.924","31.810","31.613","31.471","31.732"
"2024-01-25T11:12:32-05:00","31.960","32.025","31.909","31.713","31.566","31.820"
"2024-01-25T11:13:32-05:00","32.060","32.123","32.012","31.822","31.669","31.915"
"2024-01-25T11:14:32-05:00","32.154","32.218","32.103","31.911","31.761","32.005"
"2024-01-25T11:15:32-05:00","32.257","32.313","32.198","32.003","31.857","32.108"
"2024-01-25T11:16:32-05:00","32.355","32.417","32.300","32.107","31.954","32.209"
"2024-01-25T11:17:32-05:00","32.463","32.526","32.401","32.216","32.059","32.317"
"2024-01-25T11:18:32-05:00","32.549","32.616","32.496","32.312","32.155","32.413"
"2024-01-25T11:19:32-05:00","32.648","32.709","32.594","32.407","32.258","32.511"
"2024-01-25T11:20:32-05:00","32.737","32.801","32.678","32.492","32.349","32.603"
"2024-01-25T11:21:32-05:00","32.839","32.895","32.779","32.596","32.447","32.711"
"2024-01-25T11:22:32-05:00","32.952","33.000","32.881","32.696","32.549","32.818"
"2024-01-25T11:23:32-05:00","33.053","33.097","32.978","32.794","32.645","32.913"
"2024-01-25T11:24:32-05:00","33.148","33.184","33.072","32.896","32.738","33.004"
"2024-01-25T11:25:32-05:00","33.252","33.291","33.172","32.995","32.842","33.111"
"2024-01-25T11:26:32-05:00","33.351","33.405","33.277","33.101","32.944","33.215"
"2024-01-25T11:27:32-05:00","33.458","33.500","33.384","33.205","33.047","33.318"
"2024-01-25T11:28:32-05:00","33.555","33.592","33.476","33.302","33.148","33.413"
"2024-01-25T11:29:32-05:00","33.643","33.684","33.565","33.387","33.237","33.498"
"2024-01-25T11:30:32-05:00","33.743","33.785","33.666","33.489","33.335","33.593"
"2024-01-25T11:31:32-05:00","33.840","33.886","33.764","33.586","33.431","33.689"
"2024-01-25T11:32:32-05:00","33.939","33.975","33.864","33.681","33.534","33.790"
"2024-01-25T11:33:32-05:00","34.037","34.076","33.962","33.782","33.634","33.893"
"2024-01-25T11:34:32-05:00","34.139","34.183","34.059","33.883","33.730","33.994"
"2024-01-25T11:35:32-05:00","34.235","34.283","34.161","33.990","33.827","34.101"
"2024-01-25T11:36:32-05:00","34.340","34.390","34.264","34.089","33.931","34.198"
"2024-01-25T11:37:32-05:00","34.453","34.501","34.373","34.200","34.042","34.306"
"2024-01-25T11:38:32-05:00","34.554","34.606","34.480","34.308","34.150","34.415"
"2024-01-25T11:39:32-05:00","34.657","34.704","34.578","34.408","34.252","34.515"
"2024-01-25T11:40:32-05:00","34.752","34.789","34.670","34.501","34.344","34.607"
"2024-01-25T11:41:32-05:00","34.854","34.897","34.773","34.610","34.448","34.711"
"2024-01-25T11:42:32-05:00","34.951","34.992","34.875","34.709","34.552","34.816"
"2024-01-25T11:43:32-05:00","35.037","35.091","34.964","34.800","34.650","34.903"
"2024-01-25T11:44:32-05:00","35.141","35.192","35.068","34.906","34.755","35.004"
"2024-01-25T11:45:32-05:00","35.236","35.297","35.163","34.994","34.852","35.104"
"2024-01-25T11:46:32-05:00","35.333","35.383","35.256","35.087","34.948","35.203"
"2024-01-25T11:47:32-05:00","35.426","35.474","35.347","35.178","35.038","35.290"
"2024-01-25T11:48:32-05:00","35.527","35.566","35.441","35.277","35.132","35.393"
"2024-01-25T11:49:32-05:00","35.620","35.656","35.535","35.373","35.223","35.499"
"2024-01-25T11:50:32-05:00","35.712","35.747","35.628","35.463","35.316","35.601"
"2024-01-25T11:51:32-05:00","35.811","35.843","35.724","35.557","35.419","35.700"
"2024-01-25T11:52:32-05:00","35.918","35.963","35.832","35.659","35.552","35.806"
"2024-01-25T11:53:32-05:00","36.004","36.061","35.929","35.769","35.625","35.898"
"2024-01-25T11:54:32-05:00","36.099","36.157","36.029","35.865","35.719","35.990"
"2024-01-25T11:55:32-05:00","36.196","36.256","36.124","35.965","35.823","36.093"
"2024-01-25T11:56:32-05:00","36.282","36.343","36.214","36.037","35.919","36.187"
"2024-01-25T11:57:32-05:00","36.382","36.447","36.315","36.143","36.015","36.281"
"2024-01-25T11:58:32-05:00","36.477","36.541","36.418","36.254","36.117","36.365"
"2024-01-25T11:59:32-05:00","36.577","36.653","36.519","36.366","36.211","36.462"
"2024-01-25T12:00:32-05:00","36.678","36.757","36.623","36.472","36.318","36.569"
"2024-01-25T12:01:32-05:00","36.779","36.844","36.726","36.562","36.417","36.668"
"2024-01-25T12:02:32-05:00","36.889","36.951","36.822","36.655","36.516","36.762"
"2024-01-25T12:03:32-05:00","36.980","37.055","36.918","36.748","36.621","36.857"
"2024-01-25T12:04:32-05:00","37.080","37.158","37.019","36.844","36.723","36.943"
"2024-01-25T12:05:32-05:00","37.180","37.239","37.111","36.941","36.825","37.045"
"2024-01-25T12:06:32-05:00","37.279","37.341","37.208","37.036","36.932","37.143"
"2024-01-25T12:07:32-05:00","37.377","37.444","37.312","37.133","37.029","37.256"
"2024-01-25T12:08:32-05:00","37.470","37.536","37.400","37.225","37.132","37.350"
"2024-01-25T12:09:32-05:00","37.566","37.629","37.495","37.320","37.233","37.450"
"2024-01-25T12:10:32-05:00","37.662","37.732","37.586","37.416","37.324","37.551"
"2024-01-25T12:11:32-05:00","37.766","37.826","37.688","37.519","37.424","37.649"
"2024-01-25T12:12:32-05:00","37.864","37.919","37.787","37.618","37.527","37.747"
"2024-01-25T12:13:32-05:00","37.959","38.024","37.883","37.716","37.625","37.845"
"2024-01-25T12:14:32-05:00","38.055","38.105","37.980","37.813","37.722","37.929"
"2024-01-25T12:15:32-05:00","38.155","38.209","38.071","37.908","37.820","38.024"
"2024-01-25T12:16:32-05:00","38.256","38.317","38.174","38.013","37.922","38.116"
"2024-01-25T12:17:32-05:00","38.362","38.431","38.279","38.119","38.023","38.219"
"2024-01-25T12:18:32-05:00","38.456","38.529","38.365","38.213","38.120","38.312"
"2024-01-25T12:19:32-05:00","38.556","38.606","38.465","38.311","38.216","38.414"
"2024-01-25T12:20:32-05:00","38.653","38.716","38.562","38.412","38.317","38.517"
"2024-01-25T12:21:32-05:00","38.746","38.812","38.651","38.508","38.414","38.615"
"2024-01-25T12:22:32-05:00","38.845","38.898","38.748","38.609","38.512","38.715"
"2024-01-25T12:23:32-05:00","38.944","38.975","38.846","38.709","38.612","38.813"
