"","Input 0 Last (C)","Input 1 Last (C)","Input 2 Last (C)","Input 3 Last (C)","Input 4 Last (C)","Input 5 Last (C)"
"2024-01-26T09:47:16-05:00","22.326","22.381","22.279","22.085","22.011","22.169"
"2024-01-26T09:48:16-05:00","22.339","22.385","22.284","22.094","22.014","22.175"
"2024-01-26T09:49:16-05:00","22.353","22.391","22.294","22.101","22.016","22.181"
"2024-01-26T09:50:16-05:00","22.356","22.391","22.295","22.103","22.013","22.179"
"2024-01-26T09:51:16-05:00","22.368","22.397","22.308","22.113","22.017","22.187"
"2024-01-26T09:52:16-05:00","22.387","22.409","22.325","22.121","22.024","22.198"
"2024-01-26T09:53:16-05:00","22.418","22.444","22.367","22.138","22.060","22.233"
"2024-01-26T09:54:16-05:00","22.484","22.516","22.447","22.182","22.135","22.309"
"2024-01-26T09:55:16-05:00","22.553","22.590","22.531","22.228","22.216","22.386"
"2024-01-26T09:56:16-05:00","22.626","22.657","22.616","22.280","22.299","22.474"
"2024-01-26T09:57:16-05:00","22.715","22.728","22.709","22.348","22.396","22.548"
"2024-01-26T09:58:16-05:00","22.810","22.810","22.798","22.425","22.492","22.640"
"2024-01-26T09:59:16-05:00","22.904","22.894","22.887","22.500","22.590","22.732"
"2024-01-26T10:00:16-05:00","23.006","22.994","22.984","22.588","22.694","22.821"
"2024-01-26T10:01:16-05:00","23.106","23.089","23.081","22.673","22.792","22.909"
"2024-01-26T10:02:16-05:00","23.207","23.165","23.183","22.784","22.890","22.999"
"2024-01-26T10:03:16-05:00","23.312","23.247","23.289","22.877","22.988","23.103"
"2024-01-26T10:04:16-05:00","23.413","23.348","23.390","22.966","23.083","23.197"
"2024-01-26T10:05:16-05:00","23.510","23.432","23.483","23.061","23.174","23.298"
"2024-01-26T10:06:16-05:00","23.605","23.535","23.587","23.147","23.269","23.396"
"2024-01-26T10:07:16-05:00","23.696","23.636","23.675","23.234","23.370","23.490"
"2024-01-26T10:08:16-05:00","23.808","23.756","23.786","23.334","23.481","23.601"
"2024-01-26T10:09:16-05:00","23.921","23.871","23.887","23.432","23.579","23.704"
"2024-01-26T10:10:16-05:00","24.025","23.961","23.989","23.529","23.670","23.802"
"2024-01-26T10:11:16-05:00","24.134","24.060","24.095","23.632","23.777","23.908"
"2024-01-26T10:12:16-05:00","24.238","24.161","24.181","23.740","23.876","24.001"
"2024-01-26T10:13:16-05:00","24.348","24.272","24.292","23.846","23.980","24.095"
"2024-01-26T10:14:16-05:00","24.452","24.395","24.394","23.956","24.089","24.194"
"2024-01-26T10:15:16-05:00","24.549","24.486","24.493","24.036","24.189","24.290"
"2024-01-26T10:16:16-05:00","24.645","24.582","24.587","24.129","24.284","24.382"
"2024-01-26T10:17:16-05:00","24.751","24.693","24.683","24.234","24.384","24.482"
"2024-01-26T10:18:16-05:00","24.859","24.801","24.781","24.315","24.484","24.586"
"2024-01-26T10:19:16-05:00","24.961","24.920","24.876","24.428","24.585","24.685"
"2024-01-26T10:20:16-05:00","25.056","25.006","24.975","24.530","24.685","24.788"
"2024-01-26T10:21:16-05:00","25.142","25.098","25.070","24.618","24.776","24.878"
"2024-01-26T10:22:16-05:00","25.257","25.214","25.177","24.720","24.889","24.988"
"2024-01-26T10:23:16-05:00","25.362","25.311","25.267","24.823","24.982","25.083"
"2024-01-26T10:24:16-05:00","25.476","25.421","25.376","24.937","25.087","25.187"
