Input,Trial,Treatment,time,file,heart_rate,sd,std_err,confidence,start,end
0,Trial5,22C,1/23/24 10:07,input_0_F2_Trial5_22C_20240123_100718.txt,43.3634468,0.35985708,0.06925453,Good,460,498
0,Trial5,22C,1/23/24 10:17,input_0_F2_Trial5_22C_20240123_101719.txt,45.6074766,0.26462095,0.0336069,Good,198,280
0,Trial5,22C,1/23/24 10:27,input_0_F2_Trial5_22C_20240123_102719.txt,42.9617575,0.16053969,0.02393184,Good,488,552
0,Trial5,22C,1/23/24 10:37,input_0_F2_Trial5_22C_20240123_103719.txt,44.0718563,0.1611337,0.02350377,Good,134,198
0,Trial5,22C,1/23/24 10:47,input_0_F2_Trial5_22C_20240123_104719.txt,44.7058824,0.14851632,0.01950115,Good,186,264
0,Trial5,22C,1/23/24 10:57,input_0_F2_Trial5_22C_20240123_105719.txt,47.3857404,0.08648773,0.011662,Good,58,128
0,Trial5,22C,1/23/24 11:07,input_0_F2_Trial5_22C_20240123_110719.txt,54.2317173,0.10835664,0.01447977,Good,134,196
0,Trial5,22C,1/23/24 11:17,input_0_F2_Trial5_22C_20240123_111719.txt,60.346249,0.08258751,0.01048862,Good,134,196
0,Trial5,22C,1/23/24 11:27,input_0_F2_Trial5_22C_20240123_112719.txt,58.1758422,0.08181577,0.01056237,Good,148,210
0,Trial5,22C,1/23/24 11:37,input_0_F2_Trial5_22C_20240123_113719.txt,62.0408163,0.08453627,0.01110016,Good,126,182
0,Trial5,22C,1/23/24 11:47,input_0_F2_Trial5_22C_20240123_114719.txt,60.6896552,0.16736596,0.02870303,Good,112,146
0,Trial5,22C,1/23/24 11:57,input_0_F2_Trial5_22C_20240123_115720.txt,65.4917567,0.3470809,0.04958299,Good,380,426
0,Trial5,22C,1/23/24 12:07,input_0_F2_Trial5_22C_20240123_120720.txt,84.8961258,0.1869862,0.02337328,Good,380,426
0,Trial5,22C,1/23/24 12:17,input_0_F2_Trial5_22C_20240123_121720.txt,89.0792291,0.11988694,0.01646774,Good,274,310
0,Trial5,22C,1/23/24 12:27,input_0_F2_Trial5_22C_20240123_122720.txt,77.6649746,0.19001677,0.02635059,Good,118,158
