Input,Trial,Treatment,date,temperature,Heartrate,sd,std_err,confidence,recording_length,time,start,end
0,Trial5,22C,1/23/24 10:07,22.793,43.3634468,0.35985708,0.06925453,Good,38,1/23/24 10:14,460,498
0,Trial5,22C,1/23/24 10:17,23.397,45.6074766,0.26462095,0.0336069,Good,82,1/23/24 10:20,198,280
0,Trial5,22C,1/23/24 10:27,24.901,42.9617575,0.16053969,0.02393184,Good,64,1/23/24 10:35,488,552
0,Trial5,22C,1/23/24 10:37,25.306,44.0718563,0.1611337,0.02350377,Good,64,1/23/24 10:39,134,198
0,Trial5,22C,1/23/24 10:47,26.398,44.7058824,0.14851632,0.01950115,Good,78,1/23/24 10:50,186,264
0,Trial5,22C,1/23/24 10:57,27.201,47.3857404,0.08648773,0.011662,Good,70,1/23/24 10:58,58,128
0,Trial5,22C,1/23/24 11:07,28.279,54.2317173,0.10835664,0.01447977,Good,62,1/23/24 11:09,134,196
0,Trial5,22C,1/23/24 11:17,29.291,60.346249,0.08258751,0.01048862,Good,62,1/23/24 11:19,134,196
0,Trial5,22C,1/23/24 11:27,30.295,58.1758422,0.08181577,0.01056237,Good,62,1/23/24 11:29,148,210
0,Trial5,22C,1/23/24 11:37,31.243,62.0408163,0.08453627,0.01110016,Good,56,1/23/24 11:39,126,182
0,Trial5,22C,1/23/24 11:47,32.125,60.6896552,0.16736596,0.02870303,Good,34,1/23/24 11:49,112,146
0,Trial5,22C,1/23/24 11:57,33.655,65.4917567,0.3470809,0.04958299,Good,46,1/23/24 12:03,380,426
0,Trial5,22C,1/23/24 12:07,34.593,84.8961258,0.1869862,0.02337328,Good,46,1/23/24 12:13,380,426
0,Trial5,22C,1/23/24 12:17,35.415,89.0792291,0.11988694,0.01646774,Good,36,1/23/24 12:21,274,310
0,Trial5,22C,1/23/24 12:27,36.238,77.6649746,0.19001677,0.02635059,Good,40,1/23/24 12:29,118,158
0,Trial5,22C,1/23/24 12:37,37.551,43.454039,0.34016964,0.06546568,Good,38,1/23/24 12:43,368,406
0,Trial5,22C,1/23/24 12:47,37.954,25.2631579,0.89230148,0.16862913,Good,68,1/23/24 12:48,38,106
0,Trial5,22C,1/23/24 12:57,39.261,12.6271484,0.60867733,0.15216933,Good,74,1/23/24 13:00,158,232
0,Trial5,22C,1/23/24 13:07,40.809,59.9423631,0.33856172,0.06515623,Flatline,28,1/23/24 13:16,554,582
0,Trial5,22C,1/23/24 13:17,41.32,56.0641324,0.34374199,0.01475138,Discard,582.075,21:51.0,0,582.075
0,Trial5,22C,1/23/24 13:27,42.3,57.3325859,0.35593695,0.01510868,Discard,582.075,31:51.0,0,582.075
0,Trial5,22C,1/23/24 13:37,42.853,52.4319868,0.38710096,0.05267777,Discard,62.075,37:31.0,0,62.075
1,Trial5,22C,1/23/24 10:07,22.749,49.6444732,0.16855761,0.02934211,Good,40,1/23/24 10:15,462,502
1,Trial5,22C,1/23/24 10:17,23.435,42.5120773,0.11879415,0.01770879,Good,64,1/23/24 10:21,244,308
1,Trial5,22C,1/23/24 10:27,24.345,40.9381663,0.12911962,0.01710231,Good,84,1/23/24 10:30,186,270
1,Trial5,22C,1/23/24 10:37,25.341,42.271485,0.22643515,0.02947935,Good,84,1/23/24 10:40,186,270
1,Trial5,22C,1/23/24 10:47,26.339,43.8756856,0.08928862,0.01143224,Good,84,1/23/24 10:50,186,270
1,Trial5,22C,1/23/24 10:57,27.544,45.6161864,0.07290164,0.00918474,Good,84,1/23/24 11:02,282,366
1,Trial5,22C,1/23/24 11:07,28.128,46.9215057,0.09926374,0.0120375,Good,86,1/23/24 11:09,82,168
1,Trial5,22C,1/23/24 11:17,29.334,48.7034949,0.26707786,0.03601277,Good,68,1/23/24 11:20,202,270
1,Trial5,22C,1/23/24 11:27,30.447,51.1745573,0.19933591,0.02573416,Good,70,1/23/24 11:31,254,324
1,Trial5,22C,1/23/24 11:37,31.596,55.5938886,0.3027644,0.04370028,Good,52,1/23/24 11:43,360,412
1,Trial5,22C,1/23/24 11:47,32.582,56.3049853,0.13063114,0.01866159,Good,52,1/23/24 11:53,382,434
1,Trial5,22C,1/23/24 11:57,33.478,71.6083916,0.09829824,0.0121924,Good,54,1/23/24 12:02,316,370
1,Trial5,22C,1/23/24 12:07,34.337,85.5886663,0.17462452,0.02029969,Good,52,1/23/24 12:12,278,330
1,Trial5,22C,1/23/24 12:17,35.037,93.1419458,0.18706062,0.02174536,Good,48,1/23/24 12:19,100,148
1,Trial5,22C,1/23/24 12:27,36.231,65.9340659,0.37735654,0.05284049,Good,48,1/23/24 12:30,172,220
1,Trial5,22C,1/23/24 12:37,37.093,37.6049245,0.62867636,0.11674227,Good,48,1/23/24 12:39,114,162
1,Trial5,22C,1/23/24 12:47,38.055,11.0562685,4.12368236,1.06473021,Good,88,1/23/24 12:49,100,188
1,Trial5,22C,1/23/24 12:57,39.528,48.5322896,0.36187913,0.04559249,Flatline,78,1/23/24 13:04,416,494
1,Trial5,22C,1/23/24 13:07,40.208,48.4409367,0.44078426,0.02035353,Discard,582.075,11:51.0,0,582.075
1,Trial5,22C,1/23/24 13:17,41.212,48.159496,0.43370312,0.02009091,Discard,582.075,21:51.0,0,582.075
1,Trial5,22C,1/23/24 13:27,42.175,47.7266845,0.42233854,0.01964897,Discard,582.075,31:51.0,0,582.075
1,Trial5,22C,1/23/24 13:37,42.746,54.1579607,0.35742871,0.04819568,Discard,62.075,37:31.0,0,62.075
2,Trial5,22C,1/23/24 10:07,22.557,59.7802198,0.10680135,0.01805272,Good,36,1/23/24 10:12,296,332
2,Trial5,22C,1/23/24 10:17,23.215,56.1752988,0.07548793,0.01089574,Good,52,1/23/24 10:20,158,210
2,Trial5,22C,1/23/24 10:27,24.032,62.3518687,0.14608911,0.01918244,Good,56,1/23/24 10:27,8,64
2,Trial5,22C,1/23/24 10:37,25.054,66.2678325,0.10436366,0.0133624,Good,56,1/23/24 10:38,32,88
2,Trial5,22C,1/23/24 10:47,26.438,68.7272727,0.11720034,0.01465004,Good,56,1/23/24 10:52,274,330
2,Trial5,22C,1/23/24 10:57,27.544,74.9311295,0.09182749,0.01105473,Good,56,1/23/24 11:02,318,374
2,Trial5,22C,1/23/24 11:07,28.231,77.7923785,0.11427874,0.01319577,Good,58,1/23/24 11:10,162,220
2,Trial5,22C,1/23/24 11:17,29.238,81.2615956,0.08701075,0.0101148,Good,56,1/23/24 11:19,108,164
2,Trial5,22C,1/23/24 11:27,30.035,85.3380158,0.0728207,0.0080417,Good,58,1/23/24 11:28,32,90
2,Trial5,22C,1/23/24 11:37,31.036,84.2844601,0.12864773,0.01429419,Good,58,1/23/24 11:38,32,90
2,Trial5,22C,1/23/24 11:47,32.123,90.5660377,0.20697345,0.02898208,Good,34,1/23/24 11:48,62,96
2,Trial5,22C,1/23/24 11:57,33.018,90.89444,0.20180299,0.02912775,Good,32,1/23/24 11:58,54,86
2,Trial5,22C,1/23/24 12:07,34.129,88.4615385,0.20867725,0.0249417,Good,48,1/23/24 12:09,100,148
2,Trial5,22C,1/23/24 12:17,35.639,87.9942487,0.34932358,0.04844246,Good,36,1/23/24 12:23,362,398
2,Trial5,22C,1/23/24 12:27,36.333,98.121547,0.22748586,0.0262678,Good,46,1/23/24 12:30,216,262
2,Trial5,22C,1/23/24 12:37,37.004,57.2254335,0.27134931,0.04653602,Good,36,1/23/24 12:37,34,70
2,Trial5,22C,1/23/24 12:47,38.282,17.6470588,1.36586124,0.35266386,Good,58,1/23/24 12:50,186,244
2,Trial5,22C,1/23/24 12:57,38.985,14.4914073,2.55435777,0.68268083,Good,72,1/23/24 12:58,30,102
2,Trial5,22C,1/23/24 13:07,40.479,64.1083521,0.31415227,0.0370232,Flatline,68,1/23/24 13:12,314,382
2,Trial5,22C,1/23/24 13:17,41.376,67.0570002,0.29281438,0.01148513,Discard,582.075,21:51.0,0,582.075
2,Trial5,22C,1/23/24 13:27,42.383,67.9605801,0.27588566,0.01074698,Discard,582.075,31:51.0,0,582.075
2,Trial5,22C,1/23/24 13:37,42.955,67.0776819,0.38526608,0.04638059,Discard,62.075,37:31.0,0,62.075
3,Trial5,22C,1/23/24 10:07,22.105,47.166362,0.44183092,0.06660852,Unsure,56,1/23/24 10:09,120,176
3,Trial5,22C,1/23/24 10:17,23.458,40.0890869,0.54368369,0.09764847,Unsure,46,1/23/24 10:24,456,502
3,Trial5,22C,1/23/24 10:27,24.361,45.0281426,0.5094995,0.07957045,Unsure,54,1/23/24 10:33,348,402
3,Trial5,22C,1/23/24 10:37,25.549,50.7778469,0.25785455,0.04358538,Unsure,42,1/23/24 10:46,520,562
3,Trial5,22C,1/23/24 10:47,26.562,73.7092931,0.27295263,0.02523448,Unsure,96,1/23/24 10:55,464,560
3,Trial5,22C,1/23/24 10:57,27.253,79.5580111,0.16131208,0.01749675,Unsure,64,1/23/24 11:02,284,348
3,Trial5,22C,1/23/24 11:07,28.343,73.8935215,0.23269864,0.03324266,Unsure,40,1/23/24 11:13,368,408
3,Trial5,22C,1/23/24 11:17,29.269,44.3466784,0.61612485,0.09395816,Unsure,60,1/23/24 11:22,308,368
3,Trial5,22C,1/23/24 11:27,30.27,77.7464789,0.31382978,0.04577678,Unsure,36,1/23/24 11:32,328,364
3,Trial5,22C,1/23/24 11:37,30.967,94.0923738,0.09401567,0.0109291,Unsure,48,1/23/24 11:39,118,166
3,Trial5,22C,1/23/24 11:47,32.071,82.5157233,0.24178481,0.02653933,Unsure,62,1/23/24 11:50,192,254
3,Trial5,22C,1/23/24 11:57,33.297,89.0951276,0.2247077,0.02787156,Unsure,44,1/23/24 12:02,294,338
3,Trial5,22C,1/23/24 12:07,34.257,64.9793997,0.42873853,0.06253794,Unsure,44,1/23/24 12:12,294,338
3,Trial5,22C,1/23/24 12:17,35.591,66.0117878,0.29167295,0.03461521,Unsure,64,1/23/24 12:25,462,526
3,Trial5,22C,1/23/24 12:27,36.368,71.0882164,0.26400678,0.03850935,Unsure,40,1/23/24 12:33,374,414
3,Trial5,22C,1/23/24 12:37,37.352,17.9631115,2.17342258,0.40359444,Unsure,96,1/23/24 12:43,344,440
3,Trial5,22C,1/23/24 12:47,37.949,15.969971,2.92694463,0.46279058,Unsure,150,1/23/24 12:49,86,236
3,Trial5,22C,1/23/24 12:57,39.165,75.2710377,0.26675374,0.009873,Flatline,582.075,01:51.0,0,582.075
3,Trial5,22C,1/23/24 13:07,40.137,75.2580867,0.26544531,0.00982457,Discard,582.075,11:51.0,0,582.075
