"","input 0 Last (C)","input 1 Last (C)","input 2 Last (C)","input 3 Last (C)","input 4 Last (C)","input 5 Last (C)"
"2024-01-18T10:44:44-05:00","27.342","27.319","27.228","27.038","26.906","27.091"
"2024-01-18T10:45:44-05:00","27.347","27.319","27.230","27.034","26.909","27.088"
"2024-01-18T10:46:44-05:00","27.370","27.332","27.238","27.041","26.921","27.098"
"2024-01-18T10:47:44-05:00","27.377","27.340","27.242","27.040","26.922","27.097"
"2024-01-18T10:48:44-05:00","27.378","27.343","27.238","27.036","26.916","27.092"
"2024-01-18T10:49:44-05:00","27.392","27.346","27.251","27.046","26.926","27.102"
"2024-01-18T10:50:44-05:00","27.421","27.380","27.270","27.076","26.945","27.128"
"2024-01-18T10:51:44-05:00","27.487","27.457","27.325","27.150","27.006","27.203"
"2024-01-18T10:52:44-05:00","27.559","27.531","27.386","27.229","27.066","27.279"
"2024-01-18T10:53:44-05:00","27.638","27.605","27.459","27.314","27.138","27.362"
"2024-01-18T10:54:44-05:00","27.729","27.694","27.541","27.408","27.222","27.452"
"2024-01-18T10:55:44-05:00","27.817","27.781","27.633","27.502","27.308","27.542"
"2024-01-18T10:56:44-05:00","27.922","27.890","27.737","27.611","27.409","27.647"
"2024-01-18T10:57:44-05:00","28.026","28.000","27.837","27.718","27.507","27.747"
"2024-01-18T10:58:44-05:00","28.125","28.095","27.919","27.818","27.597","27.844"
"2024-01-18T10:59:44-05:00","28.226","28.190","28.010","27.917","27.691","27.939"
"2024-01-18T11:00:44-05:00","28.333","28.292","28.124","28.019","27.790","28.039"
"2024-01-18T11:01:44-05:00","28.423","28.374","28.220","28.111","27.878","28.127"
"2024-01-18T11:02:44-05:00","28.524","28.471","28.321","28.210","27.976","28.224"
"2024-01-18T11:03:44-05:00","28.621","28.580","28.415","28.304","28.071","28.320"
"2024-01-18T11:04:44-05:00","28.721","28.669","28.514","28.398","28.170","28.418"
"2024-01-18T11:05:44-05:00","28.827","28.799","28.615","28.498","28.268","28.517"
"2024-01-18T11:06:44-05:00","28.938","28.902","28.725","28.608","28.379","28.623"
