"","Input 0 Last (C)","Input 1 Last (C)","Input 2 Last (C)","Input 3 Last (C)","Input 4 Last (C)","Input 5 Last (C)"
"2024-01-23T10:02:43-05:00","22.279","22.292","22.252","22.039","21.962","22.153"
"2024-01-23T10:03:43-05:00","22.279","22.291","22.249","22.037","21.959","22.151"
"2024-01-23T10:04:43-05:00","22.276","22.291","22.244","22.034","21.957","22.152"
"2024-01-23T10:05:43-05:00","22.281","22.314","22.235","22.039","21.965","22.159"
"2024-01-23T10:06:43-05:00","22.286","22.315","22.226","22.043","21.973","22.166"
"2024-01-23T10:07:43-05:00","22.297","22.316","22.227","22.052","21.981","22.175"
"2024-01-23T10:08:43-05:00","22.322","22.327","22.252","22.068","22.004","22.196"
"2024-01-23T10:09:43-05:00","22.375","22.367","22.310","22.105","22.054","22.243"
"2024-01-23T10:10:43-05:00","22.458","22.428","22.392","22.173","22.129","22.317"
"2024-01-23T10:11:43-05:00","22.531","22.494","22.470","22.236","22.199","22.389"
"2024-01-23T10:12:43-05:00","22.620","22.567","22.557","22.316","22.269","22.477"
"2024-01-23T10:13:43-05:00","22.705","22.690","22.642","22.396","22.352","22.562"
"2024-01-23T10:14:43-05:00","22.793","22.749","22.733","22.480","22.432","22.650"
"2024-01-23T10:15:43-05:00","22.881","22.856","22.830","22.571","22.520","22.740"
"2024-01-23T10:16:43-05:00","22.979","22.946","22.922","22.664","22.606","22.832"
"2024-01-23T10:17:43-05:00","23.073","23.024","23.015","22.754","22.696","22.926"
"2024-01-23T10:18:43-05:00","23.178","23.113","23.112","22.848","22.793","23.029"
"2024-01-23T10:19:43-05:00","23.286","23.235","23.215","22.957","22.898","23.136"
"2024-01-23T10:20:43-05:00","23.397","23.340","23.329","23.061","22.996","23.238"
"2024-01-23T10:21:43-05:00","23.496","23.435","23.419","23.151","23.086","23.332"
"2024-01-23T10:22:43-05:00","23.599","23.535","23.532","23.252","23.182","23.434"
"2024-01-23T10:23:43-05:00","23.710","23.644","23.631","23.359","23.285","23.542"
"2024-01-23T10:24:43-05:00","23.804","23.745","23.730","23.458","23.383","23.639"
"2024-01-23T10:25:43-05:00","23.907","23.843","23.826","23.554","23.478","23.736"
"2024-01-23T10:26:43-05:00","24.007","23.942","23.921","23.651","23.572","23.830"
"2024-01-23T10:27:43-05:00","24.109","24.047","24.032","23.754","23.678","23.934"
"2024-01-23T10:28:43-05:00","24.215","24.149","24.130","23.859","23.778","24.038"
"2024-01-23T10:29:43-05:00","24.309","24.247","24.231","23.952","23.869","24.134"
"2024-01-23T10:30:43-05:00","24.408","24.345","24.338","24.054","23.974","24.234"
"2024-01-23T10:31:43-05:00","24.503","24.444","24.433","24.153","24.075","24.337"
"2024-01-23T10:32:43-05:00","24.603","24.548","24.538","24.260","24.178","24.436"
"2024-01-23T10:33:43-05:00","24.711","24.648","24.640","24.361","24.279","24.541"
"2024-01-23T10:34:43-05:00","24.812","24.749","24.745","24.457","24.379","24.643"
"2024-01-23T10:35:43-05:00","24.901","24.845","24.838","24.551","24.468","24.732"
"2024-01-23T10:36:43-05:00","25.001","24.944","24.947","24.648","24.575","24.832"
"2024-01-23T10:37:43-05:00","25.113","25.054","25.054","24.751","24.686","24.941"
"2024-01-23T10:38:43-05:00","25.211","25.153","25.148","24.855","24.792","25.042"
"2024-01-23T10:39:43-05:00","25.306","25.244","25.243","24.959","24.889","25.139"
"2024-01-23T10:40:43-05:00","25.400","25.341","25.342","25.059","24.988","25.237"
"2024-01-23T10:41:43-05:00","25.486","25.437","25.440","25.145","25.080","25.333"
"2024-01-23T10:42:43-05:00","25.593","25.540","25.543","25.248","25.187","25.436"
"2024-01-23T10:43:43-05:00","25.690","25.641","25.643","25.350","25.284","25.539"
"2024-01-23T10:44:43-05:00","25.794","25.749","25.752","25.458","25.390","25.646"
"2024-01-23T10:45:43-05:00","25.895","25.839","25.847","25.549","25.488","25.745"
"2024-01-23T10:46:43-05:00","26.003","25.943","25.950","25.648","25.581","25.844"
"2024-01-23T10:47:43-05:00","26.101","26.040","26.042","25.755","25.673","25.941"
"2024-01-23T10:48:43-05:00","26.209","26.150","26.150","25.852","25.777","26.055"
"2024-01-23T10:49:43-05:00","26.306","26.241","26.243","25.957","25.874","26.146"
"2024-01-23T10:50:43-05:00","26.398","26.339","26.341","26.046","25.968","26.243"
"2024-01-23T10:51:43-05:00","26.496","26.433","26.438","26.147","26.065","26.336"
"2024-01-23T10:52:43-05:00","26.598","26.534","26.552","26.249","26.172","26.440"
"2024-01-23T10:53:43-05:00","26.709","26.647","26.645","26.344","26.276","26.543"
"2024-01-23T10:54:43-05:00","26.806","26.743","26.731","26.454","26.375","26.642"
"2024-01-23T10:55:43-05:00","26.911","26.844","26.841","26.562","26.484","26.748"
"2024-01-23T10:56:43-05:00","27.007","26.946","26.947","26.664","26.585","26.851"
"2024-01-23T10:57:43-05:00","27.112","27.052","27.043","26.765","26.683","26.951"
"2024-01-23T10:58:43-05:00","27.201","27.147","27.149","26.860","26.776","27.047"
"2024-01-23T10:59:43-05:00","27.300","27.247","27.241","26.962","26.877","27.150"
"2024-01-23T11:00:43-05:00","27.399","27.346","27.344","27.058","26.978","27.250"
"2024-01-23T11:01:43-05:00","27.494","27.453","27.435","27.153","27.079","27.347"
"2024-01-23T11:02:43-05:00","27.588","27.544","27.544","27.253","27.177","27.447"
"2024-01-23T11:03:43-05:00","27.691","27.653","27.647","27.360","27.274","27.544"
"2024-01-23T11:04:43-05:00","27.791","27.758","27.746","27.453","27.374","27.645"
"2024-01-23T11:05:43-05:00","27.878","27.841","27.820","27.540","27.463","27.733"
"2024-01-23T11:06:43-05:00","27.975","27.933","27.919","27.638","27.559","27.832"
"2024-01-23T11:07:43-05:00","28.079","28.034","28.034","27.746","27.666","27.942"
"2024-01-23T11:08:43-05:00","28.173","28.128","28.121","27.843","27.755","28.031"
"2024-01-23T11:09:43-05:00","28.279","28.230","28.231","27.938","27.860","28.140"
"2024-01-23T11:10:43-05:00","28.380","28.325","28.333","28.050","27.961","28.240"
"2024-01-23T11:11:43-05:00","28.472","28.423","28.421","28.149","28.053","28.336"
"2024-01-23T11:12:43-05:00","28.577","28.525","28.517","28.246","28.153","28.437"
"2024-01-23T11:13:43-05:00","28.669","28.621","28.623","28.343","28.249","28.530"
"2024-01-23T11:14:43-05:00","28.785","28.735","28.725","28.449","28.359","28.642"
"2024-01-23T11:15:43-05:00","28.896","28.830","28.833","28.559","28.464","28.748"
"2024-01-23T11:16:43-05:00","28.995","28.942","28.941","28.675","28.570","28.857"
"2024-01-23T11:17:43-05:00","29.101","29.050","29.048","28.769","28.672","28.956"
"2024-01-23T11:18:43-05:00","29.202","29.143","29.130","28.864","28.765","29.056"
"2024-01-23T11:19:43-05:00","29.291","29.237","29.238","28.953","28.868","29.159"
"2024-01-23T11:20:43-05:00","29.391","29.334","29.341","29.062","28.965","29.257"
"2024-01-23T11:21:43-05:00","29.487","29.436","29.442","29.175","29.065","29.357"
"2024-01-23T11:22:43-05:00","29.584","29.535","29.551","29.269","29.162","29.454"
"2024-01-23T11:23:43-05:00","29.686","29.637","29.634","29.361","29.260","29.554"
"2024-01-23T11:24:43-05:00","29.781","29.733","29.730","29.463","29.358","29.647"
"2024-01-23T11:25:43-05:00","29.883","29.832","29.834","29.573","29.454","29.745"
"2024-01-23T11:26:43-05:00","29.995","29.941","29.936","29.671","29.555","29.848"
"2024-01-23T11:27:43-05:00","30.090","30.042","30.035","29.759","29.655","29.950"
"2024-01-23T11:28:43-05:00","30.196","30.143","30.140","29.875","29.758","30.058"
"2024-01-23T11:29:43-05:00","30.295","30.252","30.246","29.971","29.858","30.149"
"2024-01-23T11:30:43-05:00","30.393","30.352","30.351","30.066","29.959","30.256"
"2024-01-23T11:31:43-05:00","30.486","30.447","30.453","30.165","30.051","30.344"
"2024-01-23T11:32:43-05:00","30.593","30.543","30.542","30.270","30.150","30.450"
"2024-01-23T11:33:43-05:00","30.682","30.635","30.646","30.372","30.247","30.549"
"2024-01-23T11:34:43-05:00","30.772","30.723","30.740","30.457","30.343","30.644"
"2024-01-23T11:35:43-05:00","30.863","30.814","30.836","30.558","30.437","30.737"
"2024-01-23T11:36:43-05:00","30.965","30.917","30.943","30.670","30.543","30.844"
"2024-01-23T11:37:43-05:00","31.053","31.005","31.036","30.765","30.636","30.934"
"2024-01-23T11:38:43-05:00","31.138","31.104","31.135","30.855","30.735","31.037"
"2024-01-23T11:39:43-05:00","31.243","31.197","31.238","30.967","30.842","31.136"
"2024-01-23T11:40:43-05:00","31.336","31.298","31.337","31.059","30.943","31.236"
"2024-01-23T11:41:43-05:00","31.421","31.384","31.439","31.155","31.037","31.322"
"2024-01-23T11:42:43-05:00","31.523","31.491","31.553","31.276","31.149","31.440"
"2024-01-23T11:43:43-05:00","31.622","31.596","31.658","31.364","31.251","31.542"
"2024-01-23T11:44:43-05:00","31.721","31.697","31.755","31.481","31.355","31.641"
"2024-01-23T11:45:43-05:00","31.811","31.788","31.833","31.571","31.447","31.729"
"2024-01-23T11:46:43-05:00","31.910","31.888","31.893","31.666","31.540","31.830"
"2024-01-23T11:47:43-05:00","32.024","31.988","32.007","31.781","31.654","31.948"
"2024-01-23T11:48:43-05:00","32.125","32.096","32.123","31.889","31.754","32.052"
"2024-01-23T11:49:43-05:00","32.226","32.195","32.218","31.990","31.851","32.151"
"2024-01-23T11:50:43-05:00","32.320","32.284","32.317","32.071","31.953","32.253"
"2024-01-23T11:51:43-05:00","32.419","32.385","32.410","32.182","32.055","32.351"
"2024-01-23T11:52:43-05:00","32.524","32.477","32.510","32.284","32.154","32.441"
"2024-01-23T11:53:43-05:00","32.636","32.582","32.607","32.372","32.251","32.543"
"2024-01-23T11:54:43-05:00","32.748","32.681","32.706","32.475","32.350","32.652"
"2024-01-23T11:55:43-05:00","32.868","32.776","32.822","32.582","32.456","32.750"
"2024-01-23T11:56:43-05:00","32.963","32.880","32.927","32.686","32.555","32.838"
"2024-01-23T11:57:43-05:00","33.044","32.964","33.018","32.784","32.651","32.934"
"2024-01-23T11:58:43-05:00","33.144","33.064","33.131","32.876","32.752","33.041"
